ANDFIELD COORDS 
[3 26468]
2.535910543342134171e-01 2.649912268237797353e-01 7.488872440330835989e-01
2.598694101980325577e-01 2.817775677649383415e-01 2.633059839340177732e-01
2.604642018061838482e-01 2.840245582846210315e-01 2.671390854087705158e-01
2.570937160266598687e-01 2.848837017186173215e-01 2.838262944152372125e-01
2.621164007177152477e-01 2.915255413429733711e-01 2.907655298436689351e-01
2.509144920975325821e-01 2.742104967501247659e-01 2.830332389377021585e-01
2.560032647450491972e-01 2.816453918520158695e-01 2.883533194328331550e-01
2.598033222415713217e-01 2.836941185023147405e-01 3.027274499631559257e-01
2.594728824592650307e-01 2.772174987691118364e-01 3.132023910622647733e-01
2.596381023504181762e-01 2.821740955037058685e-01 3.056683640256817602e-01
2.583163432211931232e-01 2.753670359881966734e-01 3.226529688362241299e-01
2.578867715041949227e-01 2.801253688534069974e-01 3.200424945560045864e-01
2.538884501382890901e-01 2.718974182739808398e-01 3.557960790015431418e-01
2.547475935722853801e-01 2.675356131475380428e-01 3.632309741034343009e-01
2.544832417464403251e-01 2.770853228561893089e-01 3.558291229797737598e-01
2.652225346713941723e-01 2.686921523856100058e-01 4.195379130084229136e-01
2.694521638849144418e-01 2.651564467149328808e-01 4.313676572149874322e-01
2.745739805106616194e-01 2.839915143063903580e-01 4.471296348309965474e-01
2.715339345134439308e-01 2.814140840044014880e-01 4.426356537916312783e-01
2.898402984532113535e-01 2.880559236287575375e-01 4.613055014919356100e-01
2.801253688534069974e-01 2.744748485759697654e-01 4.690675319783099151e-01
2.727235177297465119e-01 2.669077775611561343e-01 4.775367035988196673e-01
2.708069669923701683e-01 2.637025116727853002e-01 5.108152940748842408e-01
2.563006605491248147e-01 2.686591084073793878e-01 5.362492441189979919e-01
2.532606145519071261e-01 2.684278005597650063e-01 5.484424720860994196e-01
2.552762972239753791e-01 2.703773952753719678e-01 5.600078644668189387e-01
2.535249663777521256e-01 2.710713188182151678e-01 5.573643462083687217e-01
2.537562742253665071e-01 2.744087606195084739e-01 5.624531188558853367e-01
2.548136815287466161e-01 2.829671509812409225e-01 5.985701870619607456e-01
2.546815056158240886e-01 2.856437132179217020e-01 6.048485429257799417e-01
2.551441213110529072e-01 2.842889101104660310e-01 6.152904400466581158e-01
2.568293642008148692e-01 2.734174412725897119e-01 6.422873702610805147e-01
2.698156476454512953e-01 2.767548830738830179e-01 6.792966258793828871e-01
2.603650698714919942e-01 2.819427876560914870e-01 6.987925730354529463e-01
2.648590509108572633e-01 2.794975332670250889e-01 7.411879971053474403e-01
2.600346300891857032e-01 2.898072544749807911e-01 2.692208560373000603e-01
2.591754866551894132e-01 2.945986313184216776e-01 3.204059783165414954e-01
2.580189474171174502e-01 2.926820805810452786e-01 3.425784877092923342e-01
2.588450468728831222e-01 2.917568491905877526e-01 3.398358375161502076e-01
2.557389129192041421e-01 2.918229371470489886e-01 3.592656967157590309e-01
2.562345725926635787e-01 2.880228796505268640e-01 3.554986831974674688e-01
2.564658804402779602e-01 2.918229371470489886e-01 3.561926067403106688e-01
2.682956246468424788e-01 2.836280305458535045e-01 4.076420808453971589e-01
2.720295941869033118e-01 2.839584703281597400e-01 4.141847885350612990e-01
2.720956821433646033e-01 2.849167456968479395e-01 4.286580510000760347e-01
2.721948140780564573e-01 2.846854378492335580e-01 4.221483872886424571e-01
2.692208560373000603e-01 2.802905887445601429e-01 4.398930035984892073e-01
2.633059839340177732e-01 2.916577172558958431e-01 4.291206666953047977e-01
2.667756016482336623e-01 2.792001374629494714e-01 4.364894738407346653e-01
2.652555786496247903e-01 2.953255988394954956e-01 4.294841504558416512e-01
2.729217815991302754e-01 2.898402984532113535e-01 4.377451450134984823e-01
2.725252538603627483e-01 2.861724168696117565e-01 4.326233283877512492e-01
2.804227646574826149e-01 2.927481685375065701e-01 4.504670766322899089e-01
2.807862484180195795e-01 2.867672084777630470e-01 4.564149927138028140e-01
2.730209135338221849e-01 2.919220690817408981e-01 4.573732680824910135e-01
2.610920373925657567e-01 2.838593383934678860e-01 5.045005898350114482e-01
2.682625806686118608e-01 2.811166882003258150e-01 5.025923000921926898e-01
2.531614826172152721e-01 2.841236902193128855e-01 5.123121862887316524e-01
2.668086456264642248e-01 2.816784358302464875e-01 5.130655889923899649e-01
2.693199879719919143e-01 2.819427876560914870e-01 5.545556080587653591e-01
2.643964352156285003e-01 2.980682490326375111e-01 6.034276518618629792e-01
2.664121178876966978e-01 2.913603214518202256e-01 6.002223859734920897e-01
2.543180218552871796e-01 2.956890826000323491e-01 6.120190862018259903e-01
2.729217815991302754e-01 2.964160501211061671e-01 6.109947228766765548e-01
2.549128134634385257e-01 3.004804594434733467e-01 6.167443750888057519e-01
2.537232302471359446e-01 2.896750785620582080e-01 6.512092443833498168e-01
2.555076050715897606e-01 2.944334114272685321e-01 6.558023573574069953e-01
2.772174987691118364e-01 3.007448112693183462e-01 6.518370799697317253e-01
2.731861334249753304e-01 3.023639662026190722e-01 6.678303654333552775e-01
2.597702782633406482e-01 2.858089331090748475e-01 7.021961027932075439e-01
2.554084731368979067e-01 2.904020460831320261e-01 7.153476061289970600e-01
2.602659379368000847e-01 2.955899506653404951e-01 7.174293767575266045e-01
2.552762972239753791e-01 2.965482260340286946e-01 7.222207536009674911e-01
2.574902437654273957e-01 2.957551705564936406e-01 7.251947116417239991e-01
2.576885076348111592e-01 2.934090481021190966e-01 7.273425702267146686e-01
2.639338195203997373e-01 2.943012355143460601e-01 7.302173963327792672e-01
2.601998499803388487e-01 3.114841041942721933e-01 2.740122328807409469e-01
2.605963777191063757e-01 3.035535494189216532e-01 2.772835867255730724e-01
2.582832992429624497e-01 3.131693470840340998e-01 2.758296516834254364e-01
2.629755441517115377e-01 2.998195798788607647e-01 2.857098011743829935e-01
2.603981138497225567e-01 3.101623450650470848e-01 2.836941185023147405e-01
2.669077775611561343e-01 2.967134459251817846e-01 2.917568491905877526e-01
2.625459724347133372e-01 3.036526813536135627e-01 3.249330033341374380e-01
2.529301747696008906e-01 3.098649492609714118e-01 3.568204423266926328e-01
2.535580103559827991e-01 3.061970676773718147e-01 3.541108361117811798e-01
2.520049433791433091e-01 3.050405284392998517e-01 3.706658692053254045e-01
7.486889801636998909e-01 3.192824830567001504e-01 3.664031960135744614e-01
2.716661104263664583e-01 2.993569641836320017e-01 4.639490197503857716e-01
2.540536700294421801e-01 3.042805169399954712e-01 5.556460593403761417e-01
2.576554636565805412e-01 3.102614769997389388e-01 5.940431620443648031e-01
2.708400109706007863e-01 3.059327158515268152e-01 5.779837886242800149e-01
2.600676740674163212e-01 3.050074844610692337e-01 6.060050821638518492e-01
2.647599189761653538e-01 3.072214310025212503e-01 6.068642255978481392e-01
2.565319683967391962e-01 3.018683065291596357e-01 6.111929867460603738e-01
2.686591084073793878e-01 3.092040696963588853e-01 6.083512046182264488e-01
2.622816206088683377e-01 3.049083525263773797e-01 6.212053121499403474e-01
2.793323133758719434e-01 3.048422645699160882e-01 6.237827424519293285e-01
2.716661104263664583e-01 3.136650067574935363e-01 6.310193736844366130e-01
2.800923248751763794e-01 3.209346819682314944e-01 6.717956428210305475e-01
2.828019310900877770e-01 3.139954465397998273e-01 6.816757923119880491e-01
2.514101517709920186e-01 3.157467773860230809e-01 7.090362062869473014e-01
2.546815056158240886e-01 3.066266393943699597e-01 7.230798970349638921e-01
2.605963777191063757e-01 2.996543599877076192e-01 7.294573848334748867e-01
2.680312728209974793e-01 2.986299966625581837e-01 7.305147921368548847e-01
2.589441788075750317e-01 3.050405284392998517e-01 2.531945265954458901e-01
2.550119453981303796e-01 3.225868808797628384e-01 2.592415746116506492e-01
2.579528594606561587e-01 3.164076569506356074e-01 2.729548255773609489e-01
2.571928479613517782e-01 3.271139058973587810e-01 2.668086456264642248e-01
2.575232877436580692e-01 3.212320777723071674e-01 2.701460874277575863e-01
2.579198154824255962e-01 3.207033741206171129e-01 2.804558086357132884e-01
2.579528594606561587e-01 3.291295885694270895e-01 2.929464324068903336e-01
2.696504277542982053e-01 3.171346244717093699e-01 2.987621725754807112e-01
2.586798269817299767e-01 3.174981082322463344e-01 3.037518132883054167e-01
2.739791889025103844e-01 3.145241501914898263e-01 3.100301691521245573e-01
2.675686571257687163e-01 3.175311522104768969e-01 3.244373436606780015e-01
7.444923949284102394e-01 3.210007699246927859e-01 3.518638455920984898e-01
2.564989244185086337e-01 3.175311522104768969e-01 3.398688814943808811e-01
2.636694676945546822e-01 3.171676684499400434e-01 3.339209654128679761e-01
2.639338195203997373e-01 3.166720087764806069e-01 3.326983382183347770e-01
7.483585403813935999e-01 3.176302841451688064e-01 3.611492034749047564e-01
7.499116073582330344e-01 3.251643111817518195e-01 3.876174300376371007e-01
2.640329514550915913e-01 3.138632706268772998e-01 4.306737336721442322e-01
2.730870014902834209e-01 3.189520432743938594e-01 4.251884332858601456e-01
2.592085306334200312e-01 3.097988613045101758e-01 4.396616957508748258e-01
2.613894331966414297e-01 3.078823105671337768e-01 4.539697383247364160e-01
2.680312728209974793e-01 3.062301116556024327e-01 4.697845863059145199e-01
2.642312153244753548e-01 3.153832936254861719e-01 6.035598277747854512e-01
2.636364237163240642e-01 3.208355500335396404e-01 6.004536938211064712e-01
2.608607295449513752e-01 3.203398903600802594e-01 6.071616214019238678e-01
2.619181368483314287e-01 3.131693470840340998e-01 6.162487154153463154e-01
